length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,star,hotness
131213,0.63,0.0129,0.631,0.0,0.142,-6.211,0.0396,80.512,4,False,4.0
225853,0.386,0.932,0.136,0.0,0.0653,-9.267,0.0458,67.016,3,False,4.0
193837,0.599,0.0192,0.887,1.21e-06,0.3,-3.967,0.0984,170.918,4,False,4.0
223523,0.77,0.194,0.882,0.0,0.316,-4.792,0.0602,99.991,4,False,4.0
158098,0.562,0.476,0.46,0.0,0.107,-4.173,0.259,176.055,4,False,4.0
190537,0.902,0.0933,0.839,0.0,0.102,-9.447,0.208,133.989,4,False,4.0
190800,0.692,0.524,0.809,0.0,0.147,-4.198,0.0602,123.911,4,False,4.0
200106,0.796,0.0247,0.586,0.0,0.132,-6.946,0.147,97.981,4,False,4.0
219946,0.798,0.0902,0.676,0.0,0.0894,-5.041,0.0442,101.956,4,True,4.0
223122,0.599,0.0223,0.774,0.0,0.0669,-4.014,0.0541,129.819,4,True,1.0
190422,0.749,0.0319,0.85,4.81e-05,0.0678,-4.346,0.0468,145.983,4,False,4.0
207813,0.723,0.413,0.903,0.000377,0.118,-1.262,0.033,132.006,4,False,4.0
213264,0.786,0.0687,0.852,0.0,0.0759,-2.687,0.0813,125.036,4,False,4.0
189355,0.714,0.058,0.886,0.0,0.112,-3.076,0.0461,125.046,4,False,4.0
236667,0.713,0.000759,0.603,5.51e-06,0.0453,-4.896,0.287,78.027,4,False,4.0
224466,0.712,0.0579,0.857,0.0,0.0684,-4.194,0.0414,123.041,4,False,3.0
201980,0.799,0.018,0.899,0.0,0.0801,-3.945,0.131,108.051,4,False,3.0
191139,0.709,0.0409,0.917,0.0,0.0839,-3.315,0.189,125.042,4,False,4.0
283800,0.665,0.146,0.537,0.0,0.124,-4.65,0.0267,116.995,4,False,3.0
247467,0.614,0.00934,0.747,0.0,0.0337,-5.655,0.0743,78.216,4,False,4.0
234259,0.424,0.66,0.433,0.0,0.13,-4.073,0.0332,144.952,4,False,3.0
202962,0.843,0.0135,0.807,6.44e-05,0.227,-3.794,0.0632,104.962,4,False,3.0
197637,0.683,0.0888,0.938,0.0,0.331,-3.723,0.288,164.1,4,False,3.0
196680,0.62,0.22,0.761,0.0,0.143,-2.736,0.334,207.819,4,False,4.0
222405,0.657,0.0315,0.943,0.0,0.149,-3.031,0.0856,127.958,4,False,3.0
186893,0.564,0.105,0.944,0.0,0.154,-0.532,0.0647,164.062,4,False,4.0
196799,0.507,0.415,0.855,0.0,0.331,-3.62,0.15,159.808,4,False,3.0
167797,0.722,0.141,0.918,0.0,0.409,-2.952,0.0607,100.024,4,False,4.0
189049,0.839,0.0868,0.902,0.00257,0.272,-3.612,0.0536,114.953,4,False,4.0
236829,0.633,0.65,0.736,0.0,0.128,-5.775,0.131,168.05,4,False,4.0
247311,0.505,0.0261,0.963,0.0,0.374,-1.316,0.0573,128.059,4,False,3.0
203640,0.744,0.136,0.963,1.86e-06,0.0836,-1.525,0.0616,102.985,4,False,4.0
235779,0.856,0.171,0.617,0.0,0.0857,-5.308,0.0841,136.082,4,True,1.0
176026,0.636,0.0223,0.702,0.0,0.293,-5.352,0.0334,135.104,4,False,4.0
231748,0.716,0.147,0.763,0.0,0.271,-3.001,0.0945,90.101,4,False,4.0
210817,0.714,0.191,0.736,0.0,0.0553,-3.801,0.0457,149.985,4,False,4.0
192092,0.746,0.0526,0.898,0.0,0.0858,-2.818,0.0725,121.967,4,False,4.0
198795,0.74,0.411,0.804,0.0,0.0578,-2.187,0.0546,150.013,4,False,4.0
196508,0.587,0.16,0.874,0.0,0.15,-2.461,0.0613,150.037,4,False,3.0
203426,0.781,0.164,0.683,1.53e-06,0.16,-4.258,0.0325,100.005,4,False,4.0
180000,0.722,0.0556,0.833,0.0,0.195,-3.915,0.094,93.941,4,False,4.0
214942,0.642,0.0461,0.849,0.0,0.398,-3.266,0.0563,127.923,4,False,3.0
186295,0.571,0.135,0.779,0.0,0.202,-2.864,0.111,186.154,4,False,3.0
204009,0.62,0.163,0.906,0.0,0.214,-2.951,0.139,154.002,4,False,3.0
208863,0.785,0.0149,0.744,0.00666,0.0661,-4.249,0.0369,126.018,4,False,4.0
