name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Thunder,Thunder,Gabry Ponte,2021-05-07,160000,80,0.67,0.0342,0.67,0.896,3.21e-05,0.344,-4.673,0.058,101.216,3
Lionheart (Fearless),Lionheart (Fearless),Joel Corry,2022-10-21,186689,72,0.628,0.0217,0.628,0.967,0.00157,0.336,-2.43,0.0538,125.982,4
10:35,10:35,Tiësto,2022-11-03,172252,81,0.696,0.0683,0.696,0.793,3.78e-06,0.18,-5.733,0.097,120.003,4
Van Mij Zijn,Van Mij Zijn,KATNUF,2022-08-11,166911,61,0.835,0.145,0.835,0.645,0.0,0.11,-4.46,0.0827,105.068,4
Never Gonna Not Dance Again,Never Gonna Not Dance Again,P!nk,2022-11-04,225789,72,0.668,0.0273,0.668,0.802,0.0,0.163,-4.005,0.0917,113.796,4
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,82,0.737,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4
Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo,2022-02-25,215203,69,0.75,0.293,0.75,0.797,0.0,0.392,-4.826,0.118,105.949,4
Leven,Leven,Maan,2021-12-03,134400,53,0.677,0.258,0.677,0.721,1.6e-06,0.153,-5.482,0.0446,150.031,4
Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,134256,85,0.838,0.345,0.838,0.525,1.92e-06,0.0771,-3.562,0.0665,144.981,4
Heaven Takes You Home (feat. Connie Constance),Paradise Again,Swedish House Mafia,2022-04-15,214071,79,0.665,0.0124,0.665,0.738,0.00598,0.0923,-5.931,0.0379,125.037,4
Water,Water,Tyla,2023-07-28,200255,95,0.673,0.0856,0.673,0.722,0.0,0.137,-3.495,0.0755,117.187,4
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,138411,95,0.943,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,0.0568,104.983,4
greedy,greedy,Tate McRae,2023-09-15,131872,100,0.75,0.256,0.75,0.733,0.0,0.114,-3.18,0.0319,111.018,1
Houdini,Houdini,Dua Lipa,2023-11-09,185917,93,0.744,0.0036,0.744,0.789,0.00144,0.0947,-4.876,0.059,116.985,4
MY HOUSE,MY HOUSE,Beyoncé,2023-12-01,262941,79,0.494,0.0748,0.494,0.849,0.00152,0.791,-6.438,0.343,181.428,5
Strangers,Strangers,Kenya Grace,2023-09-01,172964,97,0.628,0.701,0.628,0.523,0.00274,0.219,-8.307,0.0946,169.982,4
Snooze,SOS,SZA,2022-12-09,201800,92,0.559,0.141,0.559,0.551,0.0,0.11,-7.231,0.132,143.008,4
Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,99,0.552,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4
Standing Next to You,GOLDEN,Jung Kook,2023-11-03,206019,98,0.711,0.0447,0.711,0.809,0.0,0.339,-4.389,0.0955,106.017,4
MONACO,nadie sabe lo que va a pasar mañana,Bad Bunny,2023-10-13,267194,97,0.787,0.15,0.787,0.621,0.000402,0.58,-5.009,0.068,139.056,4
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,231750,95,0.868,0.269,0.868,0.538,3.34e-06,0.0901,-8.603,0.174,99.968,4
vampire,GUTS,Olivia Rodrigo,2023-09-08,219724,94,0.511,0.177,0.511,0.532,0.0,0.291,-5.745,0.0578,138.005,4
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,2023-08-25,227195,93,0.429,0.554,0.429,0.453,2e-06,0.102,-7.746,0.0459,77.639,4
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,137773,98,0.504,0.868,0.504,0.308,0.135,0.158,-14.958,0.0321,113.95,4
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,239317,90,0.801,0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,106.999,4
