name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,84,0.771,0.00929,0.771,0.671,0.0,0.0637,-5.617,0.0553,85.026,4
"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,82,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,190066,82,0.554,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4
Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,82,0.488,0.556,0.488,0.343,0.0,0.21,-8.985,0.0436,102.819,4
High Hopes,Pray for the Wicked,Panic! At The Disco,2018-06-22,190946,82,0.579,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,4
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,83,0.68,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,145.038,4
Robbery,Death Race For Love (Bonus Track Version),Juice WRLD,2019-03-08,240050,82,0.623,0.328,0.623,0.692,0.0,0.153,-5.122,0.0504,79.899,4
Sucker,Happiness Begins,Jonas Brothers,2019-06-07,181026,81,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4
Ride It,Ride It,Regard,2019-07-26,157605,81,0.88,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,4
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,81,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4
boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,186106,80,0.4,0.119,0.4,0.795,0.0,0.159,-3.731,0.461,190.097,4
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,205686,80,0.688,0.443,0.688,0.53,0.0,0.0995,-5.507,0.0333,106.958,4
Goodbyes (feat. Young Thug),Hollywood's Bleeding,Post Malone,2019-09-06,174853,81,0.548,0.456,0.548,0.653,0.0,0.103,-3.875,0.081,150.068,4
Pop Out (feat. Lil Tjay),Die A Legend,Polo G,2019-06-07,166560,80,0.772,0.15,0.772,0.639,0.0,0.0698,-7.119,0.467,168.112,4
Location (feat. Burna Boy),PSYCHODRAMA,Dave,2019-03-08,241293,79,0.812,0.271,0.812,0.496,0.0,0.0955,-5.969,0.297,109.979,4
Con Calma,Con Calma,Daddy Yankee,2019-01-24,193226,79,0.737,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,4
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,2019-06-15,205426,79,0.831,0.101,0.831,0.502,0.0,0.122,-4.045,0.046,100.541,4
ZEZE (feat. Travis Scott & Offset),Dying to Live,Kodak Black,2018-12-14,228759,79,0.861,0.0521,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,4
MIA,X 100PRE,Bad Bunny,2018-12-23,210367,79,0.816,0.0142,0.816,0.538,0.000496,0.099,-6.354,0.0617,97.054,4
Look Back at It,Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,179449,78,0.791,0.407,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,4
Please Me,Please Me,Cardi B,2019-02-15,200889,78,0.747,0.0642,0.747,0.57,0.0,0.0832,-6.711,0.081,133.992,4
Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,78,0.824,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,4
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,78,0.794,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,123.941,4
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,78,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,78,0.645,0.0933,0.645,0.862,0.0,0.193,-4.761,0.0845,119.947,4
Nights Like This (feat. Ty Dolla $ign),While We Wait,Kehlani,2019-02-22,201787,77,0.61,0.367,0.61,0.725,0.0,0.154,-5.131,0.15,146.163,4
i'm so tired...,~how i'm feeling~,Lauv,2020-03-06,162586,77,0.548,0.173,0.548,0.735,0.0,0.195,-7.572,0.236,101.252,4
Old Town Road,7 EP,Lil Nas X,2019-06-21,113000,77,0.907,0.0578,0.907,0.53,2.23e-06,0.101,-6.112,0.127,135.998,4
"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,77,0.654,0.153,0.654,0.63,0.0,0.111,-4.644,0.0259,89.991,4
Callaita,Callaita,Bad Bunny,2019-05-31,250533,76,0.61,0.6,0.61,0.624,2.12e-06,0.243,-4.773,0.309,176.169,4
China,China,Anuel AA,2019-07-19,301714,76,0.786,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,105.027,4
Pure Water (with Migos),Perfect Ten,Mustard,2019-06-28,192470,76,0.682,0.174,0.682,0.559,0.0,0.344,-5.545,0.127,202.015,4
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,2019-01-18,178480,76,0.674,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,4
bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,193143,76,0.905,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,4
Higher Love,Higher Love,Kygo,2019-06-28,228267,75,0.693,0.0151,0.693,0.678,5.71e-06,0.101,-7.159,0.0324,103.952,4
Soltera (Remix),Épico,Lunay,2019-10-25,266086,75,0.795,0.361,0.795,0.783,0.0,0.437,-4.271,0.0432,92.01,4
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018-11-30,217466,75,0.601,0.00987,0.601,0.794,1.36e-06,0.388,-5.844,0.0671,114.066,4
Beautiful People (feat. Khalid),No.6 Collaborations Project,Ed Sheeran,2019-07-12,197866,75,0.64,0.124,0.64,0.647,0.0,0.0801,-8.114,0.186,92.979,4
Here With Me,Here With Me,Marshmello,2019-03-08,156346,75,0.791,0.0623,0.791,0.565,0.0,0.156,-3.933,0.0439,99.961,4
Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,171029,75,0.741,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4
Good as Hell,Cuz I Love You (Super Deluxe),Lizzo,2019-04-17,159735,75,0.682,0.256,0.682,0.919,0.0,0.442,-3.18,0.0875,95.982,4
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,189486,75,0.581,0.0153,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,4
Kill This Love,KILL THIS LOVE,BLACKPINK,2019-04-05,191050,75,0.763,0.323,0.763,0.835,0.00221,0.225,-5.234,0.191,131.875,4
SOS (feat. Aloe Blacc),TIM,Avicii,2019-06-06,157202,75,0.802,0.272,0.802,0.645,0.0,0.119,-6.181,0.0715,100.001,4
Shotta Flow (feat. Blueface) [Remix],Cottonwood,NLE Choppa,2019-12-23,176631,75,0.894,0.0251,0.894,0.511,0.0,0.14,-4.768,0.421,120.077,4
Secreto,Secreto,Anuel AA,2019-01-15,258799,75,0.807,0.602,0.807,0.803,0.00853,0.136,-4.156,0.126,91.987,4
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,177666,74,0.815,0.223,0.815,0.518,0.0,0.104,-6.594,0.0897,151.891,4
Calma - Remix,Calma (Remix),Pedro Capó,2018-10-05,238200,74,0.826,0.323,0.826,0.773,0.0,0.143,-4.218,0.0524,126.899,4
Adan y Eva,Homerun,Paulo Londra,2019-05-23,256971,74,0.767,0.323,0.767,0.709,0.0,0.0745,-4.47,0.336,171.993,4
Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),Queen,1975-11-21,354320,74,0.392,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,143.883,4
Truth Hurts,Cuz I Love You (Super Deluxe),Lizzo,2019-04-19,173325,74,0.715,0.11,0.715,0.624,0.0,0.123,-3.046,0.114,158.087,4
Grace,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,185657,74,0.722,0.435,0.722,0.565,0.0,0.165,-5.848,0.0335,104.483,4
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2019-02-01,152913,73,0.677,0.0404,0.677,0.744,0.00016,0.074,-6.806,0.0295,124.08,4
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Carte Blanche,DJ Snake,2019-07-25,212500,73,0.842,0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0.228,95.881,4
So Am I,Heaven & Hell,Ava Max,2020-09-18,183026,73,0.681,0.0748,0.681,0.657,0.0,0.353,-4.671,0.0432,130.089,4
One Thing Right,One Thing Right,Marshmello,2019-06-21,181823,73,0.659,0.0644,0.659,0.625,0.0,0.582,-2.253,0.045,88.042,4
My Type,ICY,Saweetie,2019-03-29,126446,73,0.899,0.000677,0.899,0.811,0.0,0.0672,-6.294,0.258,105.038,4
Otro Trago,Sueños,Sech,2019-04-19,225933,72,0.746,0.136,0.746,0.7,0.000159,0.11,-4.669,0.341,176.044,4
Money,Money,Cardi B,2018-10-23,183527,72,0.95,0.00534,0.95,0.59,0.0,0.11,-6.508,0.29,130.003,4
Better,Suncity,Khalid,2018-10-19,229320,72,0.695,0.102,0.695,0.586,0.317,0.113,-10.315,0.0658,98.035,4
Only Human,Happiness Begins,Jonas Brothers,2019-06-07,183000,72,0.795,0.108,0.795,0.496,0.0,0.0645,-5.883,0.0722,94.01,4
Leave Me Alone,LOVE FOR GUALA,Flipp Dinero,2019-11-22,195637,72,0.792,0.107,0.792,0.743,0.0,0.183,-2.806,0.0851,150.024,4
How Do You Sleep?,How Do You Sleep?,Sam Smith,2019-07-19,202204,72,0.477,0.153,0.477,0.682,0.0,0.0763,-4.931,0.0925,110.567,5
Panini,Panini,Lil Nas X,2019-09-13,114893,72,0.703,0.342,0.703,0.594,0.0,0.123,-6.146,0.0752,153.848,4
Suge,Baby On Baby,DaBaby,2019-03-01,163320,72,0.876,0.0608,0.876,0.662,0.0,0.127,-6.482,0.426,75.445,4
Slide Away,SHE IS COMING,Miley Cyrus,2019-05-31,233654,71,0.534,0.173,0.534,0.538,2.82e-06,0.248,-6.673,0.0327,148.016,4
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,2019-01-11,229184,71,0.807,0.016,0.807,0.887,0.000503,0.0811,-4.311,0.0361,122.015,4
Talk (feat. Disclosure),Free Spirit,Khalid,2019-04-05,197573,72,0.9,0.0516,0.9,0.4,0.0,0.0599,-8.575,0.127,135.984,4
emotions,nothings ever good enough,iann dior,2019-05-22,131213,71,0.63,0.0129,0.63,0.631,0.0,0.142,-6.211,0.0396,80.512,4
Lost Without You,Freya Ridings,Freya Ridings,2019-07-19,225853,70,0.386,0.932,0.386,0.136,0.0,0.0653,-9.267,0.0458,67.016,3
Motivation,Motivation,Normani,2019-08-16,193837,70,0.599,0.0192,0.599,0.887,1.21e-06,0.3,-3.967,0.0984,170.918,4
Never Really Over,Never Really Over,Katy Perry,2019-05-31,223523,70,0.77,0.194,0.77,0.882,0.0,0.316,-4.792,0.0602,99.991,4
Easier,CALM,5 Seconds of Summer,2020-03-27,158098,70,0.562,0.476,0.562,0.46,0.0,0.107,-4.173,0.259,176.055,4
Ladbroke Grove,AJ Tracey,AJ Tracey,2019-02-08,190537,70,0.902,0.0933,0.902,0.839,0.0,0.102,-9.447,0.208,133.989,4
If I Can't Have You,If I Can't Have You,Shawn Mendes,2019-05-03,190800,70,0.692,0.524,0.692,0.809,0.0,0.147,-4.198,0.0602,123.911,4
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,2019-05-23,200106,69,0.796,0.0247,0.796,0.586,0.0,0.132,-6.946,0.147,97.981,4
I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,69,0.798,0.0902,0.798,0.676,0.0,0.0894,-5.041,0.0442,101.956,4
DNA,Love Yourself 結 'Answer',BTS,2018-08-24,223122,0,0.599,0.0223,0.599,0.774,0.0,0.0669,-4.014,0.0541,129.819,4
Ko Ko Bop,THE WAR - The 4th Album,EXO,2017-07-18,190422,66,0.749,0.0319,0.749,0.85,4.81e-05,0.0678,-4.346,0.0468,145.983,4
Likey,Twicetagram,TWICE,2017-10-30,207813,69,0.723,0.413,0.723,0.903,0.000377,0.118,-1.262,0.033,132.006,4
As If It's Your Last,As If It's Your Last,BLACKPINK,2017-06-22,213264,79,0.786,0.0687,0.786,0.852,0.0,0.0759,-2.687,0.0813,125.036,4
Energetic,1-1=0 (NOTHING WITHOUT YOU),Wanna One,2017-11-13,189355,65,0.714,0.058,0.714,0.886,0.0,0.112,-3.076,0.0461,125.046,4
Cherry Bomb,NCT #127 CHERRY BOMB– The 3rd Mini Album,NCT 127,2017-06-14,236667,67,0.713,0.000759,0.713,0.603,5.51e-06,0.0453,-4.896,0.287,78.027,4
We Young,We Young - The 1st Mini Album,NCT DREAM,2017-08-17,224466,52,0.712,0.0579,0.712,0.857,0.0,0.0684,-4.194,0.0414,123.041,4
마지막 첫사랑 My First and Last,The First - The 1st Single Album,NCT DREAM,2017-02-09,201980,58,0.799,0.018,0.799,0.899,0.0,0.0801,-3.945,0.131,108.051,4
Red Flavor,The Red Summer - Summer Mini Album,Red Velvet,2017-07-09,191139,68,0.709,0.0409,0.709,0.917,0.0,0.0839,-3.315,0.189,125.042,4
Last Goodbye,WINTER,AKMU,2017-01-03,283800,55,0.665,0.146,0.665,0.537,0.0,0.124,-4.65,0.0267,116.995,4
無限的我 무한적아; LIMITLESS,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,2017-01-06,247467,61,0.614,0.00934,0.614,0.747,0.0,0.0337,-5.655,0.0743,78.216,4
DOWNPOUR,DOWNPOUR,I.O.I,2017-01-18,234259,58,0.424,0.66,0.424,0.433,0.0,0.13,-4.073,0.0332,144.952,4
Hola Hola,KARD 1st Mini Album 'Hola Hola',KARD,2017-07-19,202962,54,0.843,0.0135,0.843,0.807,6.44e-05,0.227,-3.794,0.0632,104.962,4
Rookie,Rookie - The 4th Mini Album,Red Velvet,2017-02-01,197637,56,0.683,0.0888,0.683,0.938,0.0,0.331,-3.723,0.288,164.1,4
Signal,SIGNAL,TWICE,2017-05-15,196680,67,0.62,0.22,0.62,0.761,0.0,0.143,-2.736,0.334,207.819,4
Power,THE POWER OF MUSIC – The 4th Album ‘THE WAR’ Repackage,EXO,2017-09-05,222405,59,0.657,0.0315,0.657,0.943,0.0,0.149,-3.031,0.0856,127.958,4
Heart Shaker,Merry & Happy,TWICE,2017-12-11,186893,65,0.564,0.105,0.564,0.944,0.0,0.154,-0.532,0.0647,164.062,4
Beautiful,1-1=0 (NOTHING WITHOUT YOU),Wanna One,2017-11-13,196799,59,0.507,0.415,0.507,0.855,0.0,0.331,-3.62,0.15,159.808,4
CLAP,"SEVENTEEN 2ND ALBUM 'TEEN, AGE' (2)",SEVENTEEN,2017-11-06,167797,68,0.722,0.141,0.722,0.918,0.0,0.409,-2.952,0.0607,100.024,4
Peek-A-Boo,Perfect Velvet - The 2nd Album,Red Velvet,2017-11-17,189049,69,0.839,0.0868,0.839,0.902,0.00257,0.272,-3.612,0.0536,114.953,4
Missing You,Brother Act.,BTOB,2017-10-16,236829,63,0.633,0.65,0.633,0.736,0.0,0.128,-5.775,0.131,168.05,4
It's Me (Pick Me),Produce 101: It's Me (Pick Me),PRODUCE 101,2017-03-09,247311,47,0.505,0.0261,0.505,0.963,0.0,0.374,-1.316,0.0573,128.059,4
Very Very Very,miss me?,I.O.I,2016-10-17,203640,60,0.744,0.136,0.744,0.963,1.86e-06,0.0836,-1.525,0.0616,102.985,4
Go Go,Love Yourself 承 'Her',BTS,2017-09-18,235779,0,0.856,0.171,0.856,0.617,0.0,0.0857,-5.308,0.0841,136.082,4
The Eve,THE WAR - The 4th Album,EXO,2017-07-18,176026,69,0.636,0.0223,0.636,0.702,0.0,0.293,-5.352,0.0334,135.104,4
FXXK IT,MADE,BIGBANG,2016-12-13,231748,63,0.716,0.147,0.716,0.763,0.0,0.271,-3.001,0.0945,90.101,4
Bad Boy,The Perfect Red Velvet - The 2nd Album Repackage,Red Velvet,2018-01-29,210817,74,0.714,0.191,0.714,0.736,0.0,0.0553,-3.801,0.0457,149.985,4
VERY NICE,Love&Letter repackage album,SEVENTEEN,2016-07-04,192092,72,0.746,0.0526,0.746,0.898,0.0,0.0858,-2.818,0.0725,121.967,4
Shine,Positive,PENTAGON,2018-04-02,198795,66,0.74,0.411,0.74,0.804,0.0,0.0578,-2.187,0.0546,150.013,4
Plz Don’t Be Sad,CALLING YOU,HIGHLIGHT,2017-05-29,196508,46,0.587,0.16,0.587,0.874,0.0,0.15,-2.461,0.0613,150.037,4
Don't Wanna Cry,SEVENTEEN 4th Mini Album ‘Al1’,SEVENTEEN,2017-05-22,203426,71,0.781,0.164,0.781,0.683,1.53e-06,0.16,-4.258,0.0325,100.005,4
Gashina,SUNMI SPECIAL EDITION [Gashina],SUNMI,2017-08-22,180000,68,0.722,0.0556,0.722,0.833,0.0,0.195,-3.915,0.094,93.941,4
Burn It Up,1-1=0 (NOTHING WITHOUT YOU),Wanna One,2017-11-13,214942,53,0.642,0.0461,0.642,0.849,0.0,0.398,-3.266,0.0563,127.923,4
DRAMARAMA,THE CODE,MONSTA X,2017-11-07,186295,54,0.571,0.135,0.571,0.779,0.0,0.202,-2.864,0.111,186.154,4
Beautiful,THE CLAN pt.2.5 [BEAUTIFUL],MONSTA X,2017-03-21,204009,51,0.62,0.163,0.62,0.906,0.0,0.214,-2.951,0.139,154.002,4
BBoom BBoom,GREAT!,MOMOLAND,2018-01-03,208863,68,0.785,0.0149,0.785,0.744,0.00666,0.0661,-4.249,0.0369,126.018,4
LATATA,I am,(G)I-DLE,2018-05-02,202772,65,0.774,0.00427,0.774,0.792,1.15e-06,0.283,-4.019,0.224,98.1,4
WEE WOO,The 1st Mini Album 'HI! PRISTIN',PRISTIN,2017-03-21,192830,50,0.834,0.0895,0.834,0.917,0.000167,0.0532,-2.838,0.0982,129.981,4
NEVER,PRODUCE 101 - 35 Boys 5 Concepts,PRODUCE 101,2017-06-04,196853,47,0.693,0.617,0.693,0.844,0.0,0.572,-2.257,0.0578,110.012,3
Hobgoblin,CRYSTYLE,CLC,2017-01-17,210478,55,0.621,0.0194,0.621,0.873,0.0,0.488,-2.888,0.103,169.91,4
BOSS,NCT 2018 EMPATHY,NCT,2018-03-14,210641,68,0.787,0.0233,0.787,0.543,0.0,0.0861,-6.7,0.037,99.026,4
EVERYDAY,EVERYD4Y,WINNER,2018-04-04,206350,54,0.857,0.289,0.857,0.6,0.0,0.0607,-4.712,0.0705,120.023,4
Black Suit,PLAY - The 8th Album,SUPER JUNIOR,2017-11-06,201111,55,0.711,0.0044,0.711,0.885,0.0,0.207,-3.299,0.0477,121.978,4
Heroine,Heroine,SUNMI,2018-01-18,195000,57,0.673,0.0582,0.673,0.782,1.4e-06,0.391,-3.911,0.0404,121.991,4
Roller Coaster,Offset,CHUNG HA,2018-01-17,212136,62,0.633,0.317,0.633,0.907,0.0,0.221,-1.459,0.048,130.001,4
My Flower,NEW MOON,JBJ,2018-04-17,194120,42,0.617,0.0307,0.617,0.922,0.0,0.312,-4.023,0.329,108.382,4
Never Ever,FLIGHT LOG : ARRIVAL,GOT7,2017-03-13,194407,13,0.794,0.266,0.794,0.835,0.0,0.0979,-2.043,0.0961,101.039,4
LOVE WHISPER,GFRIEND The 5th Mini Album <PARALLEL>,GFRIEND,2017-08-01,211972,55,0.711,0.126,0.711,0.928,0.0,0.335,-1.666,0.0484,114.012,4
Power Up,Summer Magic - Summer Mini Album,Red Velvet,2018-08-06,202040,59,0.732,0.0774,0.732,0.934,0.00745,0.306,-4.618,0.144,159.998,4
TOUCH,NCT 2018 EMPATHY,NCT,2018-03-14,189077,59,0.595,0.0391,0.595,0.806,0.0,0.36,-4.644,0.141,93.126,4
BOOMERANG,0+1=1 (I PROMISE YOU),Wanna One,2018-03-19,183475,56,0.729,0.0292,0.729,0.913,0.0,0.104,-2.749,0.0781,99.966,4
THANKS,SEVENTEEN SPECIAL ALBUM 'DIRECTOR'S CUT’,SEVENTEEN,2018-02-05,213072,64,0.513,0.0631,0.513,0.867,0.0,0.34,-3.729,0.0632,149.967,4
We Go Up,We Go Up,NCT DREAM,2018-09-03,183293,63,0.893,0.0138,0.893,0.77,0.0,0.225,-4.692,0.107,122.067,4
RUMOR,"K.A.R.D Project Vol.3 ""RUMOR""",KARD,2017-04-24,217737,48,0.726,0.0491,0.726,0.758,0.0,0.077,-3.324,0.178,88.999,4
Hard Carry,FLIGHT LOG : TURBULENCE,GOT7,2016-09-27,193578,13,0.7,0.0148,0.7,0.873,0.0,0.343,-2.901,0.0869,99.972,4
Pick Me,I.O.I 1st Mini Album 'Chrysalis',I.O.I,2016-05-04,226874,44,0.686,0.00421,0.686,0.884,0.000262,0.19,-4.835,0.0874,127.957,4
Chewing Gum,Chewing Gum,NCT DREAM,2016-08-27,197462,58,0.774,0.113,0.774,0.8,0.0,0.0782,-3.426,0.0472,103.977,4
La Vie en Rose,COLOR*IZ,IZ*ONE,2018-10-29,218993,68,0.699,0.0868,0.699,0.907,0.0,0.115,-1.208,0.0544,115.978,4
Lip & Hip,Lip & Hip,HyunA,2017-12-04,209746,58,0.742,0.00117,0.742,0.847,8.49e-06,0.142,-2.763,0.0485,112.95,4
소방차 Fire Truck,NCT #127 - The 1st Mini Album,NCT 127,2016-07-10,178565,59,0.724,0.116,0.724,0.976,1.3e-05,0.352,-3.279,0.0602,110.006,4
Up & Down,AH YEAH,EXID,2015-04-14,189882,62,0.714,0.00189,0.714,0.812,1.96e-06,0.229,-2.703,0.0351,112.018,4
365 FRESH,199X,Triple H,2017-05-01,219809,50,0.823,0.19,0.823,0.837,0.0,0.28,-4.533,0.0582,107.989,4
Overdose,Overdose - The 2nd Mini Album,EXO-K,2014-08-06,205611,65,0.498,0.0615,0.498,0.917,0.0,0.358,-1.797,0.164,112.357,5
Rumor,PRODUCE 48 - 30 Girls 6 Concepts,PRODUCE 48,2018-08-18,197076,58,0.744,0.134,0.744,0.858,0.0,0.438,-3.015,0.0922,101.929,4
BAAM,Fun to The World,MOMOLAND,2018-06-26,208474,61,0.725,0.115,0.725,0.94,0.00431,0.0864,-2.32,0.0435,127.051,4
WE LIKE,The 2nd Mini Album ‘SCHXXL OUT’,PRISTIN,2017-08-23,197544,42,0.71,0.193,0.71,0.965,0.0,0.328,-3.577,0.091,119.034,4
Baby Don’t Stop,NCT 2018 EMPATHY,NCT,2018-03-14,183019,66,0.827,0.0214,0.827,0.739,4.13e-06,0.043,-6.391,0.0744,95.999,4
PICK ME,PRODUCE 101 - PICK ME,PRODUCE 101,2015-12-17,226875,44,0.685,0.029,0.685,0.935,0.00483,0.519,-2.056,0.125,128.024,4
Holiday,Holiday Night - The 6th Album,Girls' Generation,2017-08-04,199563,50,0.709,0.0406,0.709,0.867,0.0,0.275,-3.258,0.0672,120.022,4
CALL ME BABY,EXODUS - The 2nd Album,EXO,2015-03-30,211013,68,0.692,0.284,0.692,0.886,0.0,0.341,-2.519,0.0519,100.03,4
HIGHLIGHT,Seventeen 3rd Mini Album ’Going Seventeen’,SEVENTEEN,2016-12-05,225302,57,0.579,0.0282,0.579,0.927,0.0,0.283,-3.262,0.181,144.951,4
View,Odd - The 4th Album,SHINee,2015-05-18,190821,62,0.728,0.04,0.728,0.801,0.0,0.0415,-4.428,0.0439,123.953,4
Not Today,You Never Walk Alone,BTS,2017-02-13,231859,69,0.593,0.00174,0.593,0.945,0.0,0.923,-3.408,0.126,110.023,4
Dumb Dumb,The Red - The 1st Album,Red Velvet,2015-09-09,202543,61,0.778,0.0334,0.778,0.789,2.05e-06,0.225,-4.297,0.0503,145.99,4
Black on Black,NCT 2018 EMPATHY,NCT,2018-03-14,197980,54,0.523,0.106,0.523,0.864,0.000454,0.0672,-4.746,0.359,142.11,4
LOVE SCENARIO,Return,iKON,2018-01-25,209648,73,0.806,0.331,0.806,0.707,0.0,0.294,-4.623,0.0307,118.009,4
Why Don’t You Know,Hands on Me,CHUNG HA,2017-06-07,198420,47,0.703,0.32,0.703,0.923,0.0,0.367,-0.962,0.148,100.038,4
I Like That,INSANE LOVE,SISTAR,2016-06-21,221371,55,0.564,0.0952,0.564,0.867,0.0,0.737,-3.137,0.0881,154.882,4
Lil’ Touch,Lil' Touch - The 1st Single,Girls' Generation-Oh!GG,2018-09-05,189846,58,0.791,0.0114,0.791,0.789,0.0,0.301,-4.694,0.104,112.11,4
Ice Cream Cake,Ice Cream Cake - The 1st Mini Album,Red Velvet,2015-03-17,191440,61,0.58,0.0318,0.58,0.935,0.0,0.0977,-3.348,0.189,172.023,4
FINGERTIP,GFRIEND The 4th Mini Album 'THE AWAKENING',GFRIEND,2017-03-06,210102,49,0.705,0.0632,0.705,0.967,0.0,0.15,-1.609,0.0692,122.0,4
YESTERDAY,YESTERDAY,Block B,2017-02-06,168918,49,0.63,0.0813,0.63,0.868,0.0,0.0782,-3.472,0.157,141.905,4
Why,Why - The 2nd Mini Album,TAEYEON,2016-06-28,207777,55,0.615,0.0702,0.615,0.879,0.0,0.0581,-3.275,0.0377,105.026,4
GOOD BOY,GOOD BOY,GD X TAEYANG,2014-11-21,245192,61,0.745,0.000875,0.745,0.825,0.000221,0.0828,-3.162,0.0352,94.998,4
HANN (Alone),HANN (Alone),(G)I-DLE,2018-08-14,205820,63,0.709,0.059,0.709,0.718,0.0,0.167,-3.315,0.0312,104.971,4
Adore U,SEVENTEEN 1st Mini Album ’17 CARAT’,SEVENTEEN,2015-05-29,186649,64,0.533,0.00281,0.533,0.851,1.57e-06,0.14,-3.435,0.201,203.802,4
Lion Heart,Lion Heart - The 5th Album,Girls' Generation,2015-08-19,224257,62,0.754,0.129,0.754,0.788,0.00274,0.0775,-3.175,0.0322,124.992,4
Dancing King,Dancing King - SM STATION,Yoo Jae Seok,2016-09-17,244463,47,0.729,0.0185,0.729,0.88,0.0,0.0574,-3.712,0.0458,127.987,4
HER,HER,Block B,2014-07-24,179053,57,0.646,0.0453,0.646,0.897,0.0,0.114,-2.057,0.193,162.017,4
Touch my body,TOUCH N MOVE,SISTAR,2014-07-21,206500,60,0.633,0.0437,0.633,0.915,0.0,0.107,-2.347,0.106,128.033,4
행복 (Happiness),행복(Happiness),Red Velvet,2014-08-01,220986,59,0.727,0.323,0.727,0.871,6.21e-06,0.725,-3.099,0.158,121.438,4
RHYTHM TA,WELCOME BACK,iKON,2015-11-16,226970,62,0.764,0.104,0.764,0.828,0.0,0.332,-4.375,0.0967,81.989,4
NEKKOYA (PICK ME),PRODUCE 48 - NEKKOYA (PICK ME),PRODUCE 48,2018-05-10,279423,50,0.639,0.0386,0.639,0.869,0.0,0.0709,-4.428,0.0496,128.066,4
GO,NCT 2018 EMPATHY,NCT,2018-03-14,207173,55,0.76,0.308,0.76,0.928,0.0,0.072,-3.645,0.215,131.985,4
O Sole Mio,SF9 3rd Mini Album [ Knights of the Sun ],SF9,2017-10-12,201643,52,0.734,0.27,0.734,0.823,0.0,0.108,-3.888,0.089,103.991,4
Mr.Mr.,Mr. Mr. - The 4th Mini Album,Girls' Generation,2014-02-24,235434,58,0.701,0.114,0.701,0.964,9.34e-06,0.153,-2.037,0.127,113.058,4
